"token","address","balance"
"#1/SPARTA","0x39120713d627e794dbdc61f96cfeca88b7c50c02",9744592338.589045
"#1/SPARTA","0x60396437da9e9514f64b634755e22e08ae92993e",68159728.60661675
"#1/SPARTA","0x8894e0a0c962cb723c1976a4421c95949be2d4e3",33101454
"#1/SPARTA","0xf977814e90da44bfa03b6295a0616a897441acec",23187541
"#1/SPARTA","0x53f78a071d04224b8e254e243fffc6d9f2f3fa23",20354122
"#2/DROP","0x000000000000000000000000000000000000dead",9117422675.84476
"#2/DROP","0x39120713d627e794dbdc61f96cfeca88b7c50c02",631280508.4698927
"#2/DROP","0x015908fec4ac33782d7bcd7a6ae88ab0ade405f4",59499541.778908715
"#2/DROP","0x8894e0a0c962cb723c1976a4421c95949be2d4e3",33101454
"#2/DROP","0xf977814e90da44bfa03b6295a0616a897441acec",23187541
"#3/GND","0x39120713d627e794dbdc61f96cfeca88b7c50c02",18187.20254078193
"#4/DROP","0x129ba7d47474b297e33d92dceed0cbbffd3bf93f",68525966614834.45
"#4/DROP","0x7b66c9e95969c7164071c9376227e3e2f9a08fca",48300000000000.01
"#4/DROP","0xd74e17481519a9efdd0c76e5542c6109a059b0a0",22433415458045.453
"#4/DROP","0x0f19b4cec5c47b0393d1f5be4c17c1502abc8424",19289556222890.223
"#4/DROP","0x77d99620854edfb5f8f06987491beb14a6e342be",15883588646219.467
"#5/ARBI","0x000000000000000000000000000000000000dead",42944976.32004641
"#5/ARBI","0xf977814e90da44bfa03b6295a0616a897441acec",23187541
"#5/ARBI","0xeb2d2f1b8c558a40207669291fda468e50c8a0bb",20178512
"#5/ARBI","0x39120713d627e794dbdc61f96cfeca88b7c50c02",12435836.087725071
"#5/ARBI","0x786f493b951f02fd6a7afa691c1864aadc486edf",418419.09052871144
"#6/PEPEX","0x0f06d62c8f456435c23760f6e9e65f00fe2f3fae",36321079456.000206
"#6/PEPEX","0xeeee2cb413d1f983fd75cdfbce5c9435efe07fb6",12646155825.488403
"#6/PEPEX","0x6e3129f77112566c759c52fed937b8bb5dfaa5ce",10851128470.81717
"#6/PEPEX","0x0f4d63ecf93542a18847718c3630ca9748f20470",2123851458.9756737
"#6/PEPEX","0x811f869d0a52dc2b064810457c080fb4311d5297",2031157334.1505506
"#7/OPENAI","0x000000000000000000000000000000000000dead",500000000
"#7/OPENAI","0xf11bdbd9333e0e5cf9ab5217fa2a7cbebb3edf12",220398486.98815262
"#7/OPENAI","0x5e0cc140aa5c186e2e9ef1da850e5ed399ae9b74",212299702.5166166
"#7/OPENAI","0xd8daec59dfbae3e80dab7527c4420ec58993960c",190241213.88968733
"#7/OPENAI","0xa794fc417f189fd202e9502f99a66d59ef2c5795",180145656.02776128
"#8/AICODE","0x000000000000000000000000000000000000dead",18612192448.727657
"#8/AICODE","0x39120713d627e794dbdc61f96cfeca88b7c50c02",2080663498.3536916
"#8/AICODE","0x71c7b284b8e520094446d38e59b18f38b9b9006e",113886254.26019272
"#8/AICODE","0x8894e0a0c962cb723c1976a4421c95949be2d4e3",33101454
"#8/AICODE","0xf977814e90da44bfa03b6295a0616a897441acec",23187541
"#9/NGT","0xbdad0cf157b6a8943d45d4096643ed414654a812",40522570.22945017
"#9/NGT","0x5da11463ed841413378ef2cc245ca86a2cee9731",20690000
"#9/NGT","0x3ab43147e282667ede827579bb7d5e8d1e814742",20274507.63493557
"#9/NGT","0xa24af5ae781d99eb6d75b1b82aee96d27af040c1",5226885
"#9/NGT","0x64ec9a5c2077c52517f0cb437c59a5d8dfc12f77",2809396.8257691986
"#10/AGI","0x011c57e4cd8c6c523a37da877d0ffc183b7a4d00",284247136.3951823
"#10/AGI","0x730f057f76ec04426a816015c2e1960230f2fc48",25266476.41739393
"#10/AGI","0x175a918b048fa3cd580d5a09861677488f38df93",13220224.827276513
"#10/AGI","0x466471373fafa8d61465e035bd99573d477ae40b",7300759.455591336
"#10/AGI","0x0007448f4ba168e24c35f835eefa1a76587d691d",3957329.242532265
"#11/PENDLE","0x1e56299ebc8a1010cec26005d12e3e5c5cc2db00",2113557.7404714273
"#11/PENDLE","0xbfca4230115de8341f3a3d5e8845ffb3337b2be3",1428714.6338939634
"#11/PENDLE","0x1619de6b6b20ed217a58d00f37b9d47c7663feca",586235.0392906616
"#11/PENDLE","0xe8629b6a488f366d27dad801d1b5b445199e2ada",538466.5319547002
"#11/PENDLE","0xb15d9d8c2a77de3a4a02e45f73a804864457e737",519403.14648279524
"#12/GND","0x99db8dba7b30ab3c6447c4388d81dcc27c5a8b61",5480.074216702896
"#12/GND","0x1edd8c76f74d816f7472be69b174fe7b3084221e",2953.7248782362763
"#13/GND","0x99db8dba7b30ab3c6447c4388d81dcc27c5a8b61",5480.074216702896
"#13/GND","0x1edd8c76f74d816f7472be69b174fe7b3084221e",2953.7248782362763
"#14/STG","0x9cd50907aeb5d16f29bddf7e1abb10018ee8717d",1865401.568576328
"#15/GRAIL","0x3caae25ee616f2c8e13c74da0813402eae3f496b",19801.672111153726
"#15/GRAIL","0x5a5a7c0108cef44549b7782495b1df2ad5294da3",17482.282682225603
"#15/GRAIL","0x953bf6efe8f93c0fd615980a3af26be673683aaa",10000
"#15/GRAIL","0x48e365daebe55aa21bb39e4c2876661827d566c5",7980
"#15/GRAIL","0x87425d8812f44726091831a9a109f4bdc3ea34b4",3107.408068661469
"#16/STG","0xfbd849e6007f9bc3cc2d6eb159c045b8dc660268",8197805.724937131
"#16/STG","0x9cd50907aeb5d16f29bddf7e1abb10018ee8717d",5063796.411904893
"#16/STG","0xba12222222228d8ba445958a75a0704d566bf2c8",1122842.151615162
"#16/STG","0xea8dfee1898a7e0a59f7527f076106d7e44c2176",697606.4863393
"#16/STG","0xf977814e90da44bfa03b6295a0616a897441acec",627514
"#17/V3","0x489ee077994b6658eafa855c308275ead8097c4a",259924532.890548
"#17/V3","0x892785f33cdee22a30aef750f285e18c18040c3e",85689543.145832
"#17/V3","0x62383739d68dd0f844103db8dfb05a7eded5bbe6",71672229.618932
"#17/V3","0x3405a1bd46b85c5c029483fbecf2f3e611026e45",48253856.465427
"#17/V3","0x48a29e756cc1c097388f3b2f3b570ed270423b3d",47839551.631313
"#18/USDT","0xf89d7b9c864f589bbf53a82105107622b35eaa40",79674966.851857
"#18/USDT","0x62383739d68dd0f844103db8dfb05a7eded5bbe6",22910525.857025
"#18/USDT","0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641",22429691.086182
"#18/USDT","0x0d0707963952f2fba59dd06f2b425ace40b492fe",20062734.36842
"#18/USDT","0x960ea3e3c7fb317332d990873d354e18d7645590",16281670.831712
"#19/V2","0xf89d7b9c864f589bbf53a82105107622b35eaa40",79674966.851857
"#19/V2","0x62383739d68dd0f844103db8dfb05a7eded5bbe6",22910525.857025
"#19/V2","0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641",22429691.086182
"#19/V2","0x0d0707963952f2fba59dd06f2b425ace40b492fe",20062734.36842
"#19/V2","0x960ea3e3c7fb317332d990873d354e18d7645590",16281670.831712
"#20/USDT","0xf89d7b9c864f589bbf53a82105107622b35eaa40",79674966.851857
"#20/USDT","0x62383739d68dd0f844103db8dfb05a7eded5bbe6",22910525.857025
"#20/USDT","0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641",22429691.086182
"#20/USDT","0x0d0707963952f2fba59dd06f2b425ace40b492fe",20062734.36842
"#20/USDT","0x960ea3e3c7fb317332d990873d354e18d7645590",16281670.831712
"#21/V3","0x489ee077994b6658eafa855c308275ead8097c4a",259924532.890548
"#21/V3","0x892785f33cdee22a30aef750f285e18c18040c3e",85691645.190823
"#21/V3","0x62383739d68dd0f844103db8dfb05a7eded5bbe6",71672229.618932
"#21/V3","0x3405a1bd46b85c5c029483fbecf2f3e611026e45",48253856.465427
"#21/V3","0x48a29e756cc1c097388f3b2f3b570ed270423b3d",47839551.631313
"#22/USDT","0xf89d7b9c864f589bbf53a82105107622b35eaa40",79674966.851857
"#22/USDT","0x62383739d68dd0f844103db8dfb05a7eded5bbe6",22910525.857025
"#22/USDT","0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641",22429691.086182
"#22/USDT","0x0d0707963952f2fba59dd06f2b425ace40b492fe",20062734.36842
"#22/USDT","0x960ea3e3c7fb317332d990873d354e18d7645590",16281670.831712
"#23/DAI","0xd85e038593d7a098614721eae955ec2022b9b91b",41193864.46539349
"#23/DAI","0x489ee077994b6658eafa855c308275ead8097c4a",38771392.84098041
"#23/DAI","0x0d914606f3424804fa1bbbe56ccc3416733acec6",8409507.16507928
"#23/DAI","0x0fa7b744f18d8e8c3d61b64b110f25cc27e73055",7820177.270428639
"#23/DAI","0xaef9e3e050d0ef060cdfd5246209b0b6bb66060f",3734374.8791561658
"#24/DAI","0xd85e038593d7a098614721eae955ec2022b9b91b",41193864.46539349
"#24/DAI","0x489ee077994b6658eafa855c308275ead8097c4a",38771392.84098041
"#24/DAI","0x0d914606f3424804fa1bbbe56ccc3416733acec6",8409507.16507928
"#24/DAI","0x0fa7b744f18d8e8c3d61b64b110f25cc27e73055",7820177.270428639
"#24/DAI","0xaef9e3e050d0ef060cdfd5246209b0b6bb66060f",3734374.8791561658
"#25/USDs","0xf2839e0b30b5e96083085f498b14bbc12530b734",277213.17582604534
"#25/USDs","0x50450351517117cb58189edba6bbad6284d45902",259585.01260902357
"#25/USDs","0x08e0b47588e1ac22bc0f8b4afaa017aaf273f85e",168742.01217275515
"#25/USDs","0x495dabd6506563ce892b8285704bd28f9ddcae65",159131.94517511377
"#25/USDs","0x649d816dff6f83e8f3e7a2ed6e7661b4a065c305",130110.8793715535
